alpha,samples,strand,mode,eigenvalue,dominant_l,score_l0,score_l1,score_l2,length,potential_min,potential_max
0.0,256,1,5,27.623029463023627,1,3.5116909588220634e-28,0.15663036305574313,0.1494547085592972,3.5876224338115827,-0.0,-0.0
0.0,256,1,6,27.626542947948778,2,2.209099214870357e-28,0.03509063996158081,0.06655614885853472,3.5876224338115827,-0.0,-0.0
0.0,256,1,7,49.13739842510988,2,1.8246408516863394e-27,0.021337866736821268,0.05277928186156664,3.5876224338115827,-0.0,-0.0
0.0,256,1,8,49.13859191246955,1,2.540544827242494e-31,0.20597483719070966,0.10803066234746443,3.5876224338115827,-0.0,-0.0
0.0,256,1,9,76.82964896670354,2,1.2790045052194187e-27,0.01000686332689183,0.11295902502551494,3.5876224338115827,-0.0,-0.0
0.0,256,1,10,76.83611759089918,2,5.31169906311395e-27,0.1188059932241207,0.14109714506973636,3.5876224338115827,-0.0,-0.0
0.0,256,1,11,110.72995974357117,2,1.6801993682965377e-27,0.08915302546038381,0.0952977088575401,3.5876224338115827,-0.0,-0.0
0.0,256,1,12,110.74148862611806,2,4.477335392914888e-29,0.007643572967324235,0.12444123571124117,3.5876224338115827,-0.0,-0.0
0.0,256,1,13,150.87656571085597,2,4.460925876973632e-28,0.008816085013626324,0.1438033608216191,3.5876224338115827,-0.0,-0.0
0.0,256,1,14,150.88066920890242,2,2.0600510723878595e-29,0.05611484179318873,0.07532257294915415,3.5876224338115827,-0.0,-0.0
0.0,256,1,15,197.2940165059237,2,1.2553174421228695e-28,0.0016296320368468893,0.12966538379402726,3.5876224338115827,-0.0,-0.0
0.0,256,1,16,197.30494583155757,2,4.837468375193685e-28,0.032768207176467876,0.06468660520872696,3.5876224338115827,-0.0,-0.0
0.0,256,1,17,250.03518480967506,2,1.269361057124257e-28,0.02229899609133974,0.04416549668853323,3.5876224338115827,-0.0,-0.0
0.0,512,0,0,-1.5409133899284966e-10,0,1.0000000000000004,0.9039113623944088,0.9996742926294131,2.773074093811138,-0.0,-0.0
0.0,512,0,1,5.133855380645569,2,8.742562315498422e-24,0.6098745654043264,0.9585903085768261,2.773074093811138,-0.0,-0.0
0.0,512,0,2,5.1338603954263835,2,9.409288297937839e-25,0.7594004370241485,0.9696982525485354,2.773074093811138,-0.0,-0.0
0.0,512,0,3,20.536372746278033,2,2.1584113225016455e-25,0.1327253238651258,0.26043601645345554,2.773074093811138,-0.0,-0.0
0.0,512,0,4,20.536491408272425,2,1.6853451936724847e-25,0.13742538730990772,0.2769572787845278,2.773074093811138,-0.0,-0.0
0.0,512,0,5,46.21056622512144,2,6.716429088164717e-26,0.030202652815216943,0.1406427317404235,2.773074093811138,-0.0,-0.0
0.0,512,0,6,46.21088214635904,2,9.248057671180414e-26,0.06548139536202814,0.11810835363401187,2.773074093811138,-0.0,-0.0
0.0,512,0,7,82.16111844792343,2,7.93089280535922e-26,0.06372169209188976,0.1085317806318977,2.773074093811138,-0.0,-0.0
